data;cota;patrimonio_liquido
2024-05-02;1.0003536;5001767.82
2024-05-03;1.0007104;5003552.24
2024-05-06;1.0011415;5005707.69
2024-05-07;1.0015625;5007812.47
2024-05-08;1.0020218;5011109.23
2024-05-09;1.0023259;5012629.85
2024-05-10;1.0026447;5014223.98
2024-05-13;1.0029761;5016881.39
2024-05-14;1.0035889;5019946.75
2024-05-15;1.0039913;5021959.73
2024-05-16;1.0043631;5023819.02
2024-05-17;1.0047828;5028918.62
2024-05-20;1.0054221;5132118.07
2024-05-21;1.0059111;5134614.56
2024-05-22;1.0062743;5136468.06
2024-05-23;1.0066893;5138586.79
2024-05-24;1.0071823;5156103.2
2024-05-27;1.0078602;5159573.59
2024-05-28;1.0082737;5161690.21
2024-05-29;1.0088588;5164685.46
2024-05-31;1.0091956;5166409.62
2024-06-03;1.0097986;5169496.96
2024-06-04;1.0106098;5173649.59
2024-06-05;1.0111276;5176300.5
2024-06-06;1.0116766;5236209.22
2024-06-07;1.0122038;5239438.18
2024-06-10;1.0126066;5241523.16
2024-06-11;1.0133671;5245459.72
2024-06-12;1.0136738;5247047.47
2024-06-13;1.014486;5354311.54
2024-06-14;1.0150958;5359029.89
2024-06-17;1.0156871;5392151.46
2024-06-18;1.0162437;5395106.16
2024-06-19;1.016849;5398319.81
2024-06-20;1.0172026;5400196.89
2024-06-21;1.0176298;5402464.87
2024-06-24;1.0181259;5505098.88
2024-06-25;1.0186439;5507899.55
2024-06-26;1.0190693;5510199.56
2024-06-27;1.0194541;5512280.25
2024-06-28;1.0199669;5515053.35
2024-07-01;1.0204774;5520973.06
2024-07-02;1.0207479;5522436.44
2024-07-03;1.0214502;5526235.85
2024-07-04;1.0218196;5528234.39
2024-07-05;1.0222933;5530797.34
2024-07-08;1.0227849;5533956.98
2024-07-09;1.0235111;5537886.2
2024-07-10;1.024061;5540861.65
2024-07-11;1.0247935;5544825.02
2024-07-12;1.025115;5546564.2
2024-07-15;1.0253167;5547655.75
2024-07-16;1.0262021;5552446.08
2024-07-17;1.026663;5555939.94
2024-07-18;1.0274095;5559979.93
2024-07-19;1.0275689;5560842.5
2024-07-22;1.0281124;5645783.62
2024-07-23;1.0286692;5648841.38
2024-07-24;1.0296872;5654431.44
2024-07-25;1.0305438;5659135.67
2024-07-26;1.0324864;5734928.68
2024-07-29;1.0326174;5735656.09
2024-07-30;1.032827;5736820.51
2024-07-31;1.0341403;5744115.1
2024-08-01;1.0350504;5749170.09
2024-08-02;1.0353297;5750721.38
2024-08-05;1.0355048;5751694.21
2024-08-06;1.035826;5753478.09
2024-08-07;1.0359828;5754349.35
2024-08-08;1.0365996;5758275.0
2024-08-09;1.0367143;5758912.3
2024-08-12;1.0371954;5761584.7
2024-08-13;1.0376834;5764295.43
2024-08-14;1.0385916;5769340.76
2024-08-15;1.0389128;5771124.86
2024-08-16;1.0393791;5773715.41
2024-08-19;1.0403571;5779147.93
2024-08-20;1.0412822;5784287.08
2024-08-21;1.0417327;5786789.19
2024-08-22;1.0420376;8679974.31
2024-08-23;1.0424891;8683735.17
2024-08-26;1.0428771;8686967.09
2024-08-27;1.0434135;8691435.38
2024-08-28;1.0441196;8704439.59
2024-08-29;1.045191;8713371.66
2024-08-30;1.045869;9309454.75
2024-09-02;1.0463706;9313919.95
2024-09-03;1.0469838;9319378.17
2024-09-04;1.0475758;9324647.19
2024-09-05;1.0477719;9326392.85
2024-09-06;1.0481937;9330147.71
2024-09-09;1.0488054;9336092.22
2024-09-10;1.0496406;9343527.49
2024-09-11;1.0501667;9355243.39
2024-09-12;1.0508098;9360972.55
2024-09-13;1.0512995;9365334.24
2024-09-16;1.0516634;9368576.03
2024-09-17;1.0521506;9372916.63
2024-09-18;1.0525675;9376630.27
2024-09-19;1.0535855;9385699.28
2024-09-20;1.0542287;9418428.8
2024-09-23;1.0545598;9421387.09
2024-09-24;1.0550148;9425452.32
2024-09-25;1.0555342;9398915.56
2024-09-26;1.0559977;9403042.27
2024-09-27;1.0566614;9408952.09
2024-09-30;1.0570699;9412589.77
2024-10-01;1.0580998;9421760.62
2024-10-02;1.0586633;9426778.19
2024-10-03;1.0589621;9429439.25
2024-10-04;1.0593309;9432722.59
2024-10-07;1.0596721;9435760.9
2024-10-08;1.0600377;9439016.08
2024-10-09;1.0609305;9447465.9
2024-10-10;1.0612241;9450080.5
2024-10-11;1.0614806;9452364.72
2024-10-14;1.0619555;9459856.91
2024-10-15;1.0622262;9462268.0
2024-10-16;1.0627541;10991522.81
2024-10-17;1.0633401;11517536.8
2024-10-18;1.0638248;11522786.47
2024-10-21;1.0642927;11527854.38
2024-10-22;1.0647558;11532870.17
2024-10-23;1.0652135;11537828.39
2024-10-24;1.0655419;11541385.5
2024-10-25;1.0660642;11547043.1
2024-10-28;1.066669;11657632.23
2024-10-29;1.0672744;11664248.15
2024-10-30;1.0676765;11668642.6
2024-10-31;1.0680769;11673018.94
2024-11-01;1.0686172;11678923.59
2024-11-04;1.0690474;11683624.98
2024-11-05;1.06959;11689554.82
2024-11-06;1.0699764;11694278.05
2024-11-07;1.070303;11697847.74
2024-11-08;1.0707219;11702425.74
2024-11-11;1.0711465;11707067.15
2024-11-12;1.0717808;11713999.08
2024-11-13;1.0722814;11719470.9
2024-11-14;1.0726461;11723456.98
2024-11-18;1.0729649;11726940.69
2024-11-19;1.0736533;11734464.53
2024-11-21;1.0740358;11749222.2
2024-11-22;1.074841;11758030.84
2024-11-25;1.0750533;11771497.49
2024-11-26;1.075625;11777757.37
2024-11-27;1.0762142;11784209.04
2024-11-28;1.0765633;11788031.68
2024-11-29;1.0768038;11790664.75
2024-12-02;1.0773873;11797053.64
2024-12-03;1.0780228;11804011.78
2024-12-04;1.078141;11805306.82
2024-12-05;1.0786804;11811212.71
2024-12-06;1.0792215;11817637.77
2024-12-09;1.0797359;11823269.93
2024-12-10;1.0801617;12026387.13
2024-12-11;1.0812404;12038397.02
2024-12-12;1.0814138;12040327.68
2024-12-13;1.0818654;12161052.83
2024-12-16;1.0822813;12165727.57
2024-12-17;1.0830642;12179249.11
2024-12-18;1.083168;12864544.55
2024-12-19;1.083809;12907157.92
2024-12-20;1.0820784;12886547.85
2024-12-23;1.0814215;12878725.03
2024-12-24;1.0819647;12885193.94
2024-12-26;1.0819814;12885392.24
2024-12-27;1.081155;12875551.06
2024-12-30;1.0810926;12874807.88
2024-12-31;1.0816415;12881344.81
2025-01-02;1.0820568;12886290.64
2025-01-03;1.0832291;12900251.18
2025-01-06;1.083474;12903167.48
2025-01-07;1.084354;12914148.35
2025-01-08;1.0844543;12915342.2
2025-01-09;1.0849701;12921485.49
2025-01-10;1.0854507;12927209.63
2025-01-13;1.0864114;12938650.91
2025-01-14;1.0869245;12944760.78
2025-01-15;1.0876173;12953011.71
2025-01-16;1.0880214;12957824.77
2025-01-17;1.0886557;12965379.09
2025-01-20;1.0896299;12976981.36
2025-01-21;1.0906781;12989465.52
2025-01-22;1.091496;12999206.25
2025-01-23;1.0918328;13003216.52
2025-01-24;1.0924663;13040761.29
2025-01-27;1.092756;13044219.36
2025-01-28;1.0934961;13053053.94
2025-01-29;1.0943323;13063035.45
2025-01-30;1.0945087;13065142.31
2025-01-31;1.0951045;13411513.97
2025-02-03;1.095569;13417203.05
2025-02-04;1.0961091;14423354.99
2025-02-05;1.0965252;14428830.29
2025-02-06;1.097031;14435485.84
2025-02-07;1.0979797;14878682.36
2025-02-10;1.0985001;15017052.16
2025-02-11;1.0994816;15030469.7
2025-02-12;1.1001987;15040272.56
2025-02-13;1.1005534;16096481.79
2025-02-14;1.1016378;16309727.97
2025-02-17;1.1019408;16735249.66
2025-02-18;1.10247;16743287.13
2025-02-19;1.1030157;16761956.75
2025-02-20;1.1036726;16771940.02
2025-02-21;1.1041388;16781524.68
2025-02-24;1.1050131;17734810.65
2025-02-25;1.105193;17927756.02
2025-02-26;1.1059369;18419613.45
2025-02-27;1.1068346;18900743.12
2025-02-28;1.1074446;18911159.15
2025-03-05;1.108346;18926552.31
2025-03-06;1.1084585;18928474.32
2025-03-07;1.109099;20041698.84
2025-03-10;1.1096517;20051687.04
2025-03-11;1.1104849;20415087.3
2025-03-12;1.1111061;20426507.77
2025-03-13;1.1118084;20477428.49
2025-03-14;1.11215;20483719.56
2025-03-17;1.1127591;20494937.93
2025-03-18;1.1136803;20511904.71
2025-03-19;1.1143369;20523999.3
2025-03-20;1.1148911;20539486.47
2025-03-21;1.1155092;20551988.11
2025-03-24;1.1167984;20575740.7
2025-03-25;1.1175609;20589788.31
2025-03-26;1.118209;20727392.6
2025-03-27;1.1187685;20753412.02
2025-03-28;1.1198437;20945554.42
2025-03-31;1.1203707;20955410.82
2025-04-01;1.1209963;21017858.83
2025-04-02;1.1216096;21029357.68
2025-04-03;1.122335;21160634.98
2025-04-04;1.1228958;21186082.77
2025-04-07;1.1234287;21196136.34
2025-04-08;1.1240023;22118302.42
2025-04-09;1.1247474;22132965.51
2025-04-10;1.125142;22297123.23
2025-04-11;1.1261419;22466361.91
2025-04-14;1.1264092;22785335.57
2025-04-15;1.1272147;24693556.48
2025-04-16;1.1280462;24564531.21
2025-04-17;1.1285512;24575527.91
2025-04-22;1.128887;24853674.12
2025-04-23;1.1297083;24871756.71
2025-04-24;1.1309859;24899884.63
2025-04-25;1.1315314;25237287.86
2025-04-28;1.1321739;25251617.81
2025-04-29;1.1329201;25281260.24
2025-04-30;1.1337612;25300028.88
2025-05-02;1.134071;25545844.05
2025-05-05;1.1346137;25559067.61
2025-05-06;1.1354195;25662220.68
2025-05-07;1.1369345;27695941.38
2025-05-08;1.1370003;27698044.36
2025-05-09;1.1378729;27736958.77
2025-05-12;1.1386431;27790734.96
2025-05-13;1.1394308;27941033.68
2025-05-14;1.1400448;28002278.51
2025-05-15;1.1410072;28025917.53
2025-05-16;1.1409181;28063730.16
2025-05-19;1.1416564;28097356.88
2025-05-20;1.1424489;28118532.08
2025-05-21;1.1433267;28372809.15
2025-05-22;1.1441453;28393125.23
2025-05-23;1.1450354;28623427.04
2025-05-26;1.1458985;28772911.62
2025-05-27;1.1469446;29079359.33
2025-05-28;1.1475459;29112242.81
2025-05-29;1.1485497;29141242.69
2025-05-30;1.1490534;29154022.48
2025-06-02;1.1497099;30005388.51
2025-06-03;1.1504712;30228439.92
2025-06-04;1.1512992;30805155.12
2025-06-05;1.1519828;32155170.66
