data;cota;patrimonio_liquido
2024-05-02;1.6892603;198710906.37
2024-05-03;1.704696;201240180.34
2024-05-06;1.6981941;200662365.11
2024-05-07;1.6916476;200093439.16
2024-05-08;1.6961704;200957883.38
2024-05-09;1.6835718;199543612.44
2024-05-10;1.6797701;199935361.74
2024-05-13;1.6783579;200725758.13
2024-05-14;1.6861054;202330715.36
2024-05-15;1.7008805;204355199.49
2024-05-16;1.703328;204600528.14
2024-05-17;1.7030633;205271666.3
2024-05-20;1.703266;205487216.1
2024-05-21;1.7031353;207367392.45
2024-05-22;1.6804342;205274797.46
2024-05-23;1.6706811;204562157.62
2024-05-24;1.668312;204787540.62
2024-05-27;1.6706082;205258745.3
2024-05-28;1.6649139;205029341.17
2024-05-29;1.6580851;204619345.5
2024-05-31;1.6550027;204769924.72
2024-06-03;1.6585999;205838532.79
2024-06-04;1.6562866;205891164.6
2024-06-05;1.6487545;203946101.94
2024-06-06;1.6623478;206369757.52
2024-06-07;1.6430626;204512221.83
2024-06-10;1.6361573;203897178.17
2024-06-11;1.643111;205280590.48
2024-06-12;1.6292781;204695541.78
2024-06-13;1.6238781;206119639.67
2024-06-14;1.6282326;206899355.34
2024-06-17;1.6202385;206099245.62
2024-06-18;1.6221552;206687979.05
2024-06-19;1.6261258;207106610.48
2024-06-20;1.6236488;206432559.19
2024-06-21;1.6316899;207389108.94
2024-06-24;1.6549468;209478569.05
2024-06-25;1.653852;209904030.25
2024-06-26;1.6491476;209781086.41
2024-06-27;1.6667605;211198166.12
2024-06-28;1.6653403;211064503.18
2024-07-01;1.6622191;210646277.6
2024-07-02;1.6620292;210564353.1
2024-07-03;1.6743139;213019512.7
2024-07-04;1.6937239;215485070.67
2024-07-05;1.6951175;214856312.59
2024-07-08;1.6962405;216367683.2
2024-07-09;1.7005786;217384608.24
2024-07-10;1.6960473;215988274.51
2024-07-11;1.706604;217071175.17
2024-07-12;1.7070135;217552119.76
2024-07-15;1.7116635;218848231.94
2024-07-16;1.7141952;219702805.5
2024-07-17;1.721141;220599582.46
2024-07-18;1.7011919;218587257.02
2024-07-19;1.6935761;218539582.15
2024-07-22;1.7012792;219640293.66
2024-07-23;1.6864349;217893755.3
2024-07-24;1.6776434;217253805.06
2024-07-25;1.6702368;216261277.27
2024-07-26;1.6828898;217880161.42
2024-07-29;1.6783838;217346123.75
2024-07-30;1.6757923;217405648.08
2024-07-31;1.6870501;219266643.39
2024-08-01;1.6851215;219061482.35
2024-08-02;1.6862656;220392402.21
2024-08-05;1.6804359;219974735.54
2024-08-06;1.6839049;220493482.08
2024-08-07;1.705659;223714149.94
2024-08-08;1.7129705;226521262.88
2024-08-09;1.7298319;229078870.23
2024-08-12;1.7354829;229832089.44
2024-08-13;1.7413497;230682228.5
2024-08-14;1.7565958;233031723.23
2024-08-15;1.7580999;233612712.12
2024-08-16;1.7495709;232760040.37
2024-08-19;1.769584;236414823.05
2024-08-20;1.7688105;236529286.21
2024-08-21;1.7697677;237353667.87
2024-08-22;1.7552012;235801778.96
2024-08-23;1.778307;238495702.02
2024-08-26;1.7796484;239239537.19
2024-08-27;1.775265;239352021.92
2024-08-28;1.7816262;240961731.46
2024-08-29;1.7672771;239502338.07
2024-08-30;1.771251;240855257.2
2024-09-02;1.7689044;240830936.36
2024-09-03;1.7666704;240517438.75
2024-09-04;1.7788896;242176505.86
2024-09-05;1.7836068;242858309.82
2024-09-06;1.7662105;240245143.13
2024-09-09;1.7647806;240318346.53
2024-09-10;1.7642648;240248116.14
2024-09-11;1.767842;240820749.44
2024-09-12;1.7607678;239914871.25
2024-09-13;1.772753;243418371.55
2024-09-16;1.7722615;243629331.41
2024-09-17;1.7723995;243472171.08
2024-09-18;1.7666732;242965851.73
2024-09-19;1.7511872;242586109.17
2024-09-20;1.7293046;239574327.56
2024-09-23;1.717634;239186527.43
2024-09-24;1.7262546;240522125.13
2024-09-25;1.7170459;239509051.01
2024-09-26;1.7267822;240755132.29
2024-09-27;1.729702;241877982.75
2024-09-30;1.7252036;240957836.2
2024-10-01;1.7309137;241874727.25
2024-10-02;1.7479818;244210966.13
2024-10-03;1.738699;243028707.35
2024-10-04;1.7426491;243709139.36
2024-10-07;1.7470113;244520677.35
2024-10-08;1.7438611;243439158.58
2024-10-09;1.7245684;241404257.41
2024-10-10;1.72281;241313637.75
2024-10-11;1.7170382;240557093.56
2024-10-14;1.7266798;242079203.47
2024-10-15;1.7269067;242027792.04
2024-10-16;1.7332988;242050218.87
2024-10-17;1.726137;241157363.41
2024-10-18;1.7179687;239951912.23
2024-10-21;1.720584;240905806.58
2024-10-22;1.7151756;240114476.62
2024-10-23;1.7149049;243267529.44
2024-10-24;1.723272;244609440.02
2024-10-25;1.7178461;241076414.66
2024-10-28;1.727633;242791366.1
2024-10-29;1.7212232;242009144.27
