data;cota;patrimonio_liquido
2024-05-02;1.25081304;686963332.87
2024-05-03;1.25946133;693408843.5
2024-05-06;1.26043027;695494562.82
2024-05-07;1.26199611;699447556.77
2024-05-08;1.2643183;701839633.38
2024-05-09;1.26420472;702166975.28
2024-05-10;1.26226925;703533292.03
2024-05-13;1.26262581;705754317.92
2024-05-14;1.26368354;708292693.76
2024-05-15;1.26949;712916863.93
2024-05-16;1.27070673;714961344.9
2024-05-17;1.26946088;715221493.91
2024-05-20;1.27020309;717650887.01
2024-05-21;1.27053033;719991614.79
2024-05-22;1.26592586;718784228.35
2024-05-23;1.26107969;716945992.28
2024-05-24;1.26270518;719102985.3
2024-05-27;1.26422343;721710354.28
2024-05-28;1.26030967;720746289.26
2024-05-29;1.2584932;721364160.97
2024-05-31;1.25931209;723936336.7
2024-06-03;1.25945414;726010501.04
2024-06-04;1.26061407;729185833.8
2024-06-05;1.26303874;732200757.96
2024-06-06;1.26662958;735968362.35
2024-06-07;1.26325562;735193534.79
2024-06-10;1.26348459;736260495.05
2024-06-11;1.26711973;739503473.69
2024-06-12;1.26540858;739764651.33
2024-06-13;1.26156953;739692094.1
2024-06-14;1.26360667;741696462.33
2024-06-17;1.26427063;748681598.2
2024-06-18;1.26666666;752133237.1
2024-06-19;1.26946938;755058377.86
2024-06-20;1.26929684;756189995.58
2024-06-21;1.27171362;758987674.65
2024-06-24;1.27476954;762446008.11
2024-06-25;1.27820227;766195725.14
2024-06-26;1.28185821;769488011.09
2024-06-27;1.2895674;774562780.92
2024-06-28;1.2904369;776478402.33
2024-07-01;1.29478121;781779534.67
2024-07-02;1.29569364;785148896.39
2024-07-03;1.29603929;787011367.04
2024-07-04;1.29868704;790395617.8
2024-07-05;1.30060281;793345600.58
2024-07-08;1.3010598;796786069.38
2024-07-09;1.30173035;799182423.04
2024-07-10;1.30403503;802132592.97
2024-07-11;1.30736778;807627736.7
2024-07-12;1.30995359;810950743.14
2024-07-15;1.31355838;813926540.66
2024-07-16;1.31489937;816729063.95
2024-07-17;1.31575351;819142877.06
2024-07-18;1.31176647;817687537.31
2024-07-19;1.31190727;819937545.99
2024-07-22;1.31539299;823482252.13
2024-07-23;1.31089614;821541574.99
2024-07-24;1.3073714;821482493.04
2024-07-25;1.30373723;821471686.44
2024-07-26;1.31155379;827263451.91
2024-07-29;1.30804532;826937242.56
2024-07-30;1.30468205;826613019.88
2024-07-31;1.31349931;833781176.28
2024-08-01;1.31269426;835930042.23
2024-08-02;1.30658262;834352629.76
2024-08-05;1.29719659;829491841.43
2024-08-06;1.29705122;831337605.2
2024-08-07;1.30119652;835747778.74
2024-08-08;1.30868932;841192410.45
2024-08-09;1.31330976;845582319.66
2024-08-12;1.31412819;848429083.07
2024-08-13;1.31893973;854589945.11
2024-08-14;1.32365983;859222864.81
2024-08-15;1.33029157;864527305.73
2024-08-16;1.32889574;866196205.46
2024-08-19;1.33537009;871739159.9
2024-08-20;1.33935312;876172978.11
2024-08-21;1.34075789;878325637.45
2024-08-22;1.33855761;877540850.02
2024-08-23;1.3415483;881178696.89
2024-08-26;1.34260094;883170864.27
2024-08-27;1.34311443;885713855.52
2024-08-28;1.34451061;887838077.44
2024-08-29;1.34379419;887988375.76
2024-08-30;1.34633503;891848393.08
2024-09-02;1.34446359;892736842.76
2024-09-03;1.33882261;891718039.87
2024-09-04;1.34428089;897629123.78
2024-09-05;1.34187865;898633506.54
2024-09-06;1.33418149;895868385.9
2024-09-09;1.33549676;898704407.0
2024-09-10;1.33955598;904630376.46
2024-09-11;1.34338207;910044905.73
2024-09-12;1.34148856;911287872.25
2024-09-13;1.34526861;915881332.04
2024-09-16;1.3437093;915935733.81
2024-09-17;1.34246533;917370850.53
2024-09-18;1.33770776;915451134.88
2024-09-19;1.33669048;916914593.95
2024-09-20;1.33401429;916444165.65
2024-09-23;1.33165512;918073238.47
2024-09-24;1.33328145;920776346.61
2024-09-25;1.32952545;918846682.42
2024-09-26;1.3327478;923249145.23
2024-09-27;1.33308086;925398525.48
2024-09-30;1.33262243;927331251.89
2024-10-01;1.33125702;928085985.05
2024-10-02;1.33456793;932815147.32
2024-10-03;1.33099737;932691181.79
2024-10-04;1.33427678;936768161.97
2024-10-07;1.33407478;938269882.52
2024-10-08;1.33751565;942577613.95
2024-10-09;1.33547845;942595767.36
2024-10-10;1.33416237;942909821.27
2024-10-11;1.33615774;946884404.92
