data;cota;patrimonio_liquido
2024-05-02;2.2679796;297473157.13
2024-05-03;2.2840009;299093380.19
2024-05-06;2.2713452;295848217.25
2024-05-07;2.2682614;293985947.34
2024-05-08;2.2724704;293584492.71
2024-05-09;2.2714877;292440646.31
2024-05-10;2.2604098;290534435.37
2024-05-13;2.25593;288955260.31
2024-05-14;2.2491072;287204290.37
2024-05-15;2.2405682;285547857.56
2024-05-16;2.2427297;285075869.29
2024-05-17;2.2381585;283223468.22
2024-05-20;2.2621257;285180495.61
2024-05-21;2.2589556;284592966.75
2024-05-22;2.2418997;282170426.56
2024-05-23;2.2424812;281887397.48
2024-05-24;2.2323402;280330923.27
2024-05-27;2.2316723;279445860.92
2024-05-28;2.2247351;276879190.01
2024-05-29;2.2234028;276535936.34
2024-05-31;2.2132353;274622403.51
2024-06-03;2.2257507;274225193.75
2024-06-04;2.2038637;270630209.76
2024-06-05;2.1932608;268494992.25
2024-06-06;2.2108738;269778219.28
2024-06-07;2.2046258;266800583.61
2024-06-10;2.2016264;263785684.12
2024-06-11;2.219391;263316161.87
2024-06-12;2.2125183;262097027.17
2024-06-13;2.2064953;262857929.94
2024-06-14;2.2051701;261746236.51
2024-06-17;2.1975342;259997967.08
2024-06-18;2.21087;260430097.12
2024-06-19;2.2290953;261636618.52
2024-06-20;2.2128092;257559102.34
2024-06-21;2.2149205;257313827.19
2024-06-24;2.2671738;261999398.65
2024-06-25;2.2633117;259277257.2
2024-06-26;2.2719162;259389030.78
2024-06-27;2.28518;260147857.45
2024-06-28;2.2788318;258609240.41
2024-07-01;2.2798226;257942241.02
2024-07-02;2.2855353;256319475.85
2024-07-03;2.3188364;258931029.35
2024-07-04;2.3616273;262767937.02
2024-07-05;2.3614461;259941554.29
2024-07-08;2.3622987;259731066.52
2024-07-09;2.3598151;258704486.72
2024-07-10;2.3513645;257642675.48
2024-07-11;2.3826479;260271169.12
2024-07-12;2.3945881;261107052.3
2024-07-15;2.3951319;260364539.5
2024-07-16;2.3993964;260616900.85
2024-07-17;2.4219699;262823874.62
2024-07-18;2.3861468;258603261.84
2024-07-19;2.3803698;257748716.95
2024-07-22;2.3918829;258579828.11
2024-07-23;2.36208;255418761.09
2024-07-24;2.3370889;252174844.74
2024-07-25;2.3266889;250168905.67
2024-07-26;2.3549681;253114980.39
2024-07-29;2.3323562;250340128.35
2024-07-30;2.3158501;248436653.72
2024-07-31;2.352714;251154126.59
2024-08-01;2.3453569;250007035.17
2024-08-02;2.3453353;249913747.95
2024-08-05;2.3193504;246320332.21
2024-08-06;2.3062161;244372996.04
2024-08-07;2.338898;247893854.02
2024-08-08;2.3684878;250908915.81
2024-08-09;2.3877033;252552641.41
2024-08-12;2.3844681;252067857.85
2024-08-13;2.3859431;252035151.27
2024-08-14;2.4124775;254671793.07
2024-08-15;2.4085989;254200702.89
2024-08-16;2.3856662;251702442.0
2024-08-19;2.4233301;254802935.25
2024-08-20;2.4134504;253591320.84
2024-08-21;2.4214934;254365401.65
2024-08-22;2.3865451;249943107.69
2024-08-23;2.4103581;252888174.93
2024-08-26;2.4212758;253651209.46
2024-08-27;2.3858771;249462562.23
2024-08-28;2.3852691;249185607.96
2024-08-29;2.3622651;246780774.49
2024-08-30;2.3821258;248166053.83
2024-09-02;2.3878741;248569388.93
2024-09-03;2.3710637;245439703.89
2024-09-04;2.3809191;245699905.22
2024-09-05;2.3710861;244613701.14
2024-09-06;2.3480039;241892985.52
2024-09-09;2.3391371;240889988.15
2024-09-10;2.3353084;239935431.07
2024-09-11;2.3479823;240607559.42
2024-09-12;2.3346681;237089023.49
2024-09-13;2.3640201;238987350.38
2024-09-16;2.3567422;237943003.74
2024-09-17;2.3602685;234967952.4
2024-09-18;2.3680039;234772471.06
2024-09-19;2.3503494;231816033.3
2024-09-20;2.317803;227687815.7
2024-09-23;2.305569;225867751.07
2024-09-24;2.3186375;224615860.74
2024-09-25;2.2923737;221692654.98
2024-09-26;2.2940408;221386237.68
2024-09-27;2.2873013;220361407.47
2024-09-30;2.2834296;218851804.09
2024-10-01;2.2778091;217041640.58
2024-10-02;2.3023059;217882827.02
2024-10-03;2.2948417;216051106.71
2024-10-04;2.2954753;213737715.46
2024-10-07;2.2912408;210340826.24
2024-10-08;2.2796413;209166517.01
2024-10-09;2.2515974;205024625.25
2024-10-10;2.2516797;204386755.65
2024-10-11;2.2437763;203104554.18
2024-10-14;2.2455282;202580411.39
2024-10-15;2.2366058;200939628.48
2024-10-16;2.2443581;199784057.88
2024-10-17;2.2292627;198010235.68
