data;fechamento;fechamento_ajustado
2024-05-02;288.0;288.0
2024-05-03;289.54998779296875;289.54998779296875
2024-05-06;292.1000061035156;292.1000061035156
2024-05-07;292.25;292.25
2024-05-08;293.3999938964844;293.3999938964844
2024-05-09;298.29998779296875;298.29998779296875
2024-05-10;299.3500061035156;299.3500061035156
2024-05-13;299.1000061035156;299.1000061035156
2024-05-14;299.29998779296875;299.29998779296875
2024-05-15;303.20001220703125;303.20001220703125
2024-05-16;302.6499938964844;302.6499938964844
2024-05-17;301.1400146484375;301.1400146484375
2024-05-20;301.70001220703125;301.70001220703125
2024-05-21;303.0899963378906;303.0899963378906
2024-05-22;304.6099853515625;304.6099853515625
2024-05-23;302.25;302.25
2024-05-24;304.54998779296875;304.54998779296875
2024-05-27;306.1199951171875;306.1199951171875
2024-05-28;304.6099853515625;304.6099853515625
2024-05-29;305.45001220703125;305.45001220703125
2024-05-31;308.20001220703125;308.20001220703125
2024-06-03;308.0;308.0
2024-06-04;311.29998779296875;311.29998779296875
2024-06-05;315.5799865722656;315.5799865722656
2024-06-06;312.8999938964844;312.8999938964844
2024-06-07;317.0299987792969;317.0299987792969
2024-06-10;320.0;320.0
2024-06-11;320.5199890136719;320.5199890136719
2024-06-12;326.0;326.0
2024-06-13;324.70001220703125;324.70001220703125
2024-06-14;325.3800048828125;325.3800048828125
2024-06-17;330.1000061035156;330.1000061035156
2024-06-18;331.92999267578125;331.92999267578125
2024-06-19;332.75;332.75
2024-06-20;332.67999267578125;332.67999267578125
2024-06-21;330.8500061035156;330.8500061035156
2024-06-24;327.0;327.0
2024-06-25;332.0;332.0
2024-06-26;336.1600036621094;336.1600036621094
2024-06-27;336.25;336.25
2024-06-28;339.8299865722656;339.8299865722656
2024-07-01;344.8999938964844;344.8999938964844
2024-07-02;347.010009765625;347.010009765625
2024-07-03;342.0;342.0
2024-07-04;337.9200134277344;337.9200134277344
2024-07-05;338.510009765625;338.510009765625
2024-07-08;339.6700134277344;339.6700134277344
2024-07-09;336.2200012207031;336.2200012207031
2024-07-10;339.6499938964844;339.6499938964844
2024-07-11;338.5;338.5
2024-07-12;339.8699951171875;339.8699951171875
2024-07-15;341.44000244140625;341.44000244140625
2024-07-16;342.760009765625;342.760009765625
2024-07-17;341.29998779296875;341.29998779296875
2024-07-18;344.8999938964844;344.8999938964844
2024-07-19;343.760009765625;343.760009765625
2024-07-22;345.2699890136719;345.2699890136719
2024-07-23;345.5;345.5
2024-07-24;342.5;342.5
2024-07-25;339.8999938964844;339.8999938964844
2024-07-26;343.8999938964844;343.8999938964844
2024-07-29;342.25;342.25
2024-07-30;339.5;339.5
2024-07-31;347.70001220703125;347.70001220703125
2024-08-01;347.5;347.5
2024-08-02;339.7300109863281;339.7300109863281
2024-08-05;332.0;332.0
2024-08-06;329.7200012207031;329.7200012207031
2024-08-07;325.80999755859375;325.80999755859375
2024-08-08;330.7200012207031;330.7200012207031
2024-08-09;327.8999938964844;327.8999938964844
2024-08-12;327.45001220703125;327.45001220703125
2024-08-13;329.8999938964844;329.8999938964844
2024-08-14;332.489990234375;332.489990234375
2024-08-15;338.8399963378906;338.8399963378906
2024-08-16;338.3500061035156;338.3500061035156
2024-08-19;338.0799865722656;338.0799865722656
2024-08-20;342.1700134277344;342.1700134277344
2024-08-21;343.25;343.25
2024-08-22;347.30999755859375;347.30999755859375
2024-08-23;344.4800109863281;344.4800109863281
2024-08-26;343.8999938964844;343.8999938964844
2024-08-27;345.5799865722656;345.5799865722656
2024-08-28;346.54998779296875;346.54998779296875
2024-08-29;351.1000061035156;351.1000061035156
2024-08-30;354.8500061035156;354.8500061035156
2024-09-02;354.5;354.5
2024-09-03;347.7799987792969;347.7799987792969
2024-09-04;347.0;347.0
2024-09-05;342.3900146484375;342.3900146484375
2024-09-06;337.95001220703125;337.95001220703125
2024-09-09;340.45001220703125;340.45001220703125
2024-09-10;346.45001220703125;346.45001220703125
2024-09-11;349.6700134277344;349.6700134277344
2024-09-12;350.80999755859375;350.80999755859375
2024-09-13;349.75;349.75
2024-09-16;346.75;346.75
2024-09-17;345.1499938964844;345.1499938964844
2024-09-18;342.1499938964844;342.1499938964844
2024-09-19;346.0199890136719;346.0199890136719
2024-09-20;351.5299987792969;351.5299987792969
2024-09-23;353.1199951171875;353.1199951171875
2024-09-24;349.7699890136719;349.7699890136719
2024-09-25;349.29998779296875;349.29998779296875
2024-09-26;348.6199951171875;348.6199951171875
2024-09-27;347.5199890136719;347.5199890136719
