data;fechamento;fechamento_ajustado
2024-05-02;164.97999572753906;135.2942657470703
2024-05-03;166.58999633789062;136.6145782470703
2024-05-06;166.63999938964844;136.65554809570312
2024-05-07;165.85000610351562;136.00767517089844
2024-05-08;165.72999572753906;135.90928649902344
2024-05-09;164.47000122070312;134.87599182128906
2024-05-10;164.30999755859375;134.74481201171875
2024-05-13;162.60000610351562;133.3424835205078
2024-05-14;161.55999755859375;132.4896240234375
2024-05-15;161.77999877929688;132.67005920410156
2024-05-16;162.5;133.26046752929688
2024-05-17;163.17999267578125;133.81813049316406
2024-05-20;163.30999755859375;133.92471313476562
2024-05-21;162.49000549316406;133.2522735595703
2024-05-22;162.08999633789062;132.92428588867188
2024-05-23;161.8800048828125;132.75205993652344
2024-05-24;161.8000030517578;132.68643188476562
2024-05-27;161.8000030517578;132.68643188476562
2024-05-28;161.0;132.0303955078125
2024-05-29;161.8300018310547;132.71099853515625
2024-05-31;163.39999389648438;133.99851989746094
2024-06-03;160.7899932861328;132.75186157226562
2024-06-04;161.47000122070312;133.313232421875
2024-06-05;160.6999969482422;132.67750549316406
2024-06-06;161.17999267578125;133.07383728027344
2024-06-07;161.24000549316406;133.1233673095703
2024-06-10;160.83999633789062;132.79312133789062
2024-06-11;160.11000061035156;132.19044494628906
2024-06-12;159.8800048828125;132.00054931640625
2024-06-13;158.00999450683594;130.4565887451172
2024-06-14;159.49000549316406;131.6785430908203
2024-06-17;158.7899932861328;131.10060119628906
2024-06-18;158.55999755859375;130.91070556640625
2024-06-19;158.3000030517578;130.69607543945312
2024-06-20;157.75;130.24195861816406
2024-06-21;155.5500030517578;128.4256134033203
2024-06-24;157.77999877929688;130.26670837402344
2024-06-25;158.97999572753906;131.2574920654297
2024-06-26;159.83999633789062;131.967529296875
2024-06-27;162.11000061035156;133.84169006347656
2024-06-28;162.14999389648438;133.87469482421875
2024-07-01;158.5399932861328;131.78822326660156
2024-07-02;159.0;132.1706085205078
2024-07-03;158.5399932861328;131.78822326660156
2024-07-04;159.9499969482422;132.96029663085938
2024-07-05;160.4499969482422;133.37591552734375
2024-07-08;160.27000427246094;133.2262725830078
2024-07-09;160.24000549316406;133.20138549804688
2024-07-10;161.0;133.83314514160156
2024-07-11;161.82000732421875;134.5147705078125
2024-07-12;162.14999389648438;134.78909301757812
2024-07-15;162.6999969482422;135.24624633789062
2024-07-16;163.89999389648438;136.24380493164062
2024-07-17;164.4600067138672;136.70928955078125
2024-07-18;162.5;135.08006286621094
2024-07-19;162.0;134.66441345214844
2024-07-22;162.39999389648438;134.99691772460938
2024-07-23;163.07000732421875;135.55386352539062
2024-07-24;162.6999969482422;135.24624633789062
2024-07-25;162.77000427246094;135.30447387695312
2024-07-26;163.38999938964844;135.81982421875
2024-07-29;161.3699951171875;134.1406707763672
2024-07-30;159.75999450683594;132.8023681640625
2024-07-31;160.39999389648438;133.3343505859375
2024-08-01;160.00999450683594;133.9286346435547
2024-08-02;160.0;133.9202423095703
2024-08-05;159.82000732421875;133.7696075439453
2024-08-06;160.0;133.9202423095703
2024-08-07;160.25;134.1295623779297
2024-08-08;160.14999389648438;134.04583740234375
2024-08-09;160.8000030517578;134.58987426757812
2024-08-12;160.74000549316406;134.53965759277344
2024-08-13;160.5800018310547;134.4057159423828
2024-08-14;160.97000122070312;134.73219299316406
2024-08-15;161.97999572753906;135.57752990722656
2024-08-16;161.8800048828125;135.49383544921875
2024-08-19;160.97000122070312;134.73219299316406
2024-08-20;161.47999572753906;135.15904235839844
2024-08-21;161.3300018310547;135.03347778320312
2024-08-22;161.4499969482422;135.13389587402344
2024-08-23;162.3000030517578;135.84539794921875
2024-08-26;162.00999450683594;135.6026153564453
2024-08-27;161.00999450683594;134.76565551757812
2024-08-28;160.89999389648438;134.67361450195312
2024-08-29;161.2899932861328;135.0
2024-08-30;161.1999969482422;134.92466735839844
2024-09-02;160.60000610351562;135.3460235595703
2024-09-03;160.39999389648438;135.17750549316406
2024-09-04;160.4499969482422;135.21963500976562
2024-09-05;160.4199981689453;135.19436645507812
2024-09-06;160.5;135.2617950439453
2024-09-09;160.14999389648438;134.96682739257812
2024-09-10;160.24000549316406;135.0426788330078
2024-09-11;160.10000610351562;134.92466735839844
2024-09-12;159.99000549316406;134.8319549560547
2024-09-13;160.25999450683594;135.05953979492188
2024-09-16;160.17999267578125;134.9921112060547
2024-09-17;159.97000122070312;134.8151092529297
2024-09-18;160.08999633789062;134.91622924804688
2024-09-19;159.92999267578125;134.78138732910156
2024-09-20;159.89999389648438;134.756103515625
