data;fechamento;fechamento_ajustado
2024-05-02;123.3499984741211;123.3499984741211
2024-05-03;124.94999694824219;124.94999694824219
2024-05-06;124.70999908447266;124.70999908447266
2024-05-07;125.4000015258789;125.4000015258789
2024-05-08;125.75;125.75
2024-05-09;124.5199966430664;124.5199966430664
2024-05-10;124.01000213623047;124.01000213623047
2024-05-13;124.55999755859375;124.55999755859375
2024-05-14;124.80999755859375;124.80999755859375
2024-05-15;124.2300033569336;124.2300033569336
2024-05-16;124.55000305175781;124.55000305175781
2024-05-17;124.37000274658203;124.37000274658203
2024-05-20;124.12000274658203;124.12000274658203
2024-05-21;123.69999694824219;123.69999694824219
2024-05-22;122.06999969482422;122.06999969482422
2024-05-23;121.0999984741211;121.0999984741211
2024-05-24;120.63999938964844;120.63999938964844
2024-05-27;120.87000274658203;120.87000274658203
2024-05-28;120.18000030517578;120.18000030517578
2024-05-29;119.12000274658203;119.12000274658203
2024-05-31;118.66000366210938;118.66000366210938
2024-06-03;118.44000244140625;118.44000244140625
2024-06-04;118.16000366210938;118.16000366210938
2024-06-05;117.9000015258789;117.9000015258789
2024-06-06;119.4000015258789;119.4000015258789
2024-06-07;117.12999725341797;117.12999725341797
2024-06-10;117.3499984741211;117.3499984741211
2024-06-11;118.0;118.0
2024-06-12;116.45999908447266;116.45999908447266
2024-06-13;116.18000030517578;116.18000030517578
2024-06-14;116.22000122070312;116.22000122070312
2024-06-17;115.73999786376953;115.73999786376953
2024-06-18;116.12000274658203;116.12000274658203
2024-06-19;116.76000213623047;116.76000213623047
2024-06-20;117.12000274658203;117.12000274658203
2024-06-21;118.0199966430664;118.0199966430664
2024-06-24;119.08000183105469;119.08000183105469
2024-06-25;118.9000015258789;118.9000015258789
2024-06-26;119.13999938964844;119.13999938964844
2024-06-27;120.80000305175781;120.80000305175781
2024-06-28;120.37999725341797;120.37999725341797
2024-07-01;121.08000183105469;121.08000183105469
2024-07-02;121.33000183105469;121.33000183105469
2024-07-03;122.13999938964844;122.13999938964844
2024-07-04;122.62000274658203;122.62000274658203
2024-07-05;122.69999694824219;122.69999694824219
2024-07-08;122.94000244140625;122.94000244140625
2024-07-09;123.54000091552734;123.54000091552734
2024-07-10;123.5;123.5
2024-07-11;124.56999969482422;124.56999969482422
2024-07-12;125.19999694824219;125.19999694824219
2024-07-15;125.72000122070312;125.72000122070312
2024-07-16;125.37000274658203;125.37000274658203
2024-07-17;125.81999969482422;125.81999969482422
2024-07-18;124.0199966430664;124.0199966430664
2024-07-19;124.0;124.0
2024-07-22;124.26000213623047;124.26000213623047
2024-07-23;122.94999694824219;122.94999694824219
2024-07-24;122.86000061035156;122.86000061035156
2024-07-25;122.41000366210938;122.41000366210938
2024-07-26;123.9800033569336;123.9800033569336
2024-07-29;123.45999908447266;123.45999908447266
2024-07-30;122.70999908447266;122.70999908447266
2024-07-31;124.04000091552734;124.04000091552734
2024-08-01;123.73999786376953;123.73999786376953
2024-08-02;122.37999725341797;122.37999725341797
2024-08-05;121.7699966430664;121.7699966430664
2024-08-06;122.73999786376953;122.73999786376953
2024-08-07;124.04000091552734;124.04000091552734
2024-08-08;125.30000305175781;125.30000305175781
2024-08-09;127.12999725341797;127.12999725341797
2024-08-12;127.6500015258789;127.6500015258789
2024-08-13;128.77999877929688;128.77999877929688
2024-08-14;129.67999267578125;129.67999267578125
2024-08-15;130.49000549316406;130.49000549316406
2024-08-16;130.2899932861328;130.2899932861328
2024-08-19;131.97999572753906;131.97999572753906
2024-08-20;132.44000244140625;132.44000244140625
2024-08-21;132.74000549316406;132.74000549316406
2024-08-22;131.57000732421875;131.57000732421875
2024-08-23;131.97999572753906;131.97999572753906
2024-08-26;133.2100067138672;133.2100067138672
2024-08-27;133.00999450683594;133.00999450683594
2024-08-28;133.6199951171875;133.6199951171875
2024-08-29;132.1699981689453;132.1699981689453
2024-08-30;132.60000610351562;132.60000610351562
2024-09-02;131.10000610351562;131.10000610351562
2024-09-03;130.6300048828125;130.6300048828125
2024-09-04;132.3800048828125;132.3800048828125
2024-09-05;132.88999938964844;132.88999938964844
2024-09-06;130.9600067138672;130.9600067138672
2024-09-09;131.0399932861328;131.0399932861328
2024-09-10;130.6300048828125;130.6300048828125
2024-09-11;131.2100067138672;131.2100067138672
2024-09-12;130.30999755859375;130.30999755859375
2024-09-13;131.2100067138672;131.2100067138672
2024-09-16;131.3800048828125;131.3800048828125
2024-09-17;131.3300018310547;131.3300018310547
2024-09-18;130.0500030517578;130.0500030517578
2024-09-19;129.3699951171875;129.3699951171875
2024-09-20;127.62999725341797;127.62999725341797
2024-09-23;127.0;127.0
2024-09-24;128.67999267578125;128.67999267578125
2024-09-25;127.91999816894531;127.91999816894531
2024-09-26;129.3300018310547;129.3300018310547
2024-09-27;129.0399932861328;129.0399932861328
2024-09-30;128.42999267578125;128.42999267578125
2024-10-01;128.86000061035156;128.86000061035156
2024-10-02;129.85000610351562;129.85000610351562
2024-10-03;128.02999877929688;128.02999877929688
2024-10-04;128.1999969482422;128.1999969482422
2024-10-07;128.4499969482422;128.4499969482422
2024-10-08;127.93000030517578;127.93000030517578
2024-10-09;126.3499984741211;126.3499984741211
2024-10-10;126.80000305175781;126.80000305175781
2024-10-11;126.47000122070312;126.47000122070312
2024-10-14;127.5;127.5
2024-10-15;127.4000015258789;127.4000015258789
2024-10-16;128.07000732421875;128.07000732421875
2024-10-17;127.30999755859375;127.30999755859375
2024-10-18;127.0;127.0
2024-10-21;126.75;126.75
2024-10-22;126.5;126.5
2024-10-23;125.80999755859375;125.80999755859375
2024-10-24;126.5999984741211;126.5999984741211
2024-10-25;126.3499984741211;126.3499984741211
2024-10-28;127.83999633789062;127.83999633789062
2024-10-29;127.25;127.25
2024-10-30;127.2300033569336;127.2300033569336
2024-10-31;126.26000213623047;126.26000213623047
2024-11-01;124.5999984741211;124.5999984741211
2024-11-04;127.1500015258789;127.1500015258789
2024-11-05;127.1500015258789;127.1500015258789
2024-11-06;126.30000305175781;126.30000305175781
2024-11-07;126.05999755859375;126.05999755859375
2024-11-08;124.5;124.5
2024-11-11;124.3499984741211;124.3499984741211
2024-11-12;124.19999694824219;124.19999694824219
2024-11-13;124.33000183105469;124.33000183105469
2024-11-14;124.2699966430664;124.2699966430664
2024-11-18;124.41000366210938;124.41000366210938
2024-11-19;124.87999725341797;124.87999725341797
2024-11-21;123.5999984741211;123.5999984741211
2024-11-22;126.0199966430664;126.0199966430664
2024-11-25;125.66999816894531;125.66999816894531
2024-11-26;126.6500015258789;126.6500015258789
2024-11-27;124.0999984741211;124.0999984741211
2024-11-28;121.30000305175781;121.30000305175781
2024-11-29;122.31999969482422;122.31999969482422
2024-12-02;121.87999725341797;121.87999725341797
2024-12-03;122.68000030517578;122.68000030517578
2024-12-04;122.75;122.75
2024-12-05;124.51000213623047;124.51000213623047
